ds,y,hour,dayofweek,month,is_weekend,lag_1,lag_24,lag_168,rolling_mean_24
2010-12-08 08:00:00,539.45,8,2,12,0,0.0,0.0,1383.81,1296.5859166666662
2010-12-08 09:00:00,2628.54,9,2,12,0,539.45,4865.96,4991.065999999994,1319.0629999999994
2010-12-08 10:00:00,4991.065999999994,10,2,12,0,2628.54,3880.05,4991.065999999994,1225.8371666666662
2010-12-08 11:00:00,1997.95,11,2,12,0,4991.065999999994,4595.9800000000005,4234.16,1272.1294999999993
2010-12-08 12:00:00,4991.065999999994,12,2,12,0,1997.95,2434.69,4991.065999999994,1163.878249999999
2010-12-08 13:00:00,4991.065999999994,13,2,12,0,4991.065999999994,4991.065999999994,4991.065999999994,1270.3939166666657
2010-12-08 14:00:00,3441.4500000000003,14,2,12,0,4991.065999999994,2467.68,2831.22,1270.3939166666657
2010-12-08 15:00:00,4991.065999999994,15,2,12,0,3441.4500000000003,2704.91,3587.31,1310.9676666666658
2010-12-08 16:00:00,4334.9,16,2,12,0,4991.065999999994,4991.065999999994,4991.065999999994,1406.2241666666657
2010-12-08 17:00:00,167.09,17,2,12,0,4334.9,186.66,613.19,1378.8839166666658
2010-12-08 18:00:00,0.0,18,2,12,0,167.09,0.0,0.0,1378.0684999999987
2010-12-08 19:00:00,0.0,19,2,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-08 20:00:00,0.0,20,2,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-08 21:00:00,0.0,21,2,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-08 22:00:00,0.0,22,2,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-08 23:00:00,0.0,23,2,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-09 00:00:00,0.0,0,3,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-09 01:00:00,0.0,1,3,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-09 02:00:00,0.0,2,3,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-09 03:00:00,0.0,3,3,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-09 04:00:00,0.0,4,3,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-09 05:00:00,0.0,5,3,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-09 06:00:00,0.0,6,3,12,0,0.0,0.0,0.0,1378.0684999999987
2010-12-09 07:00:00,0.0,7,3,12,0,0.0,0.0,467.0,1378.0684999999987
2010-12-09 08:00:00,213.3,8,3,12,0,0.0,539.45,916.9300000000001,1378.0684999999987
2010-12-09 09:00:00,2521.23,9,3,12,0,213.3,2628.54,1306.31,1364.4789166666658
2010-12-09 10:00:00,4991.065999999994,10,3,12,0,2521.23,4991.065999999994,4991.065999999994,1360.0076666666657
2010-12-09 11:00:00,2833.31,11,3,12,0,4991.065999999994,1997.95,3197.55,1360.0076666666657
